user_id,site,campaign_type,device_os,hour_of_day,day_of_week,historical_open_rate,historical_push_count,days_since_last_open,segment,target_opened
USR_00000001,home,promo,ios,20,3,0.4793,11,37,at_risk,0
USR_00000002,content,promo,ios,2,0,0.0621,11,29,active,1
USR_00000003,product,promo,android,17,4,0.2581,10,23,active,1
USR_00000004,search,transactional,ios,12,3,0.804,16,20,new,1
USR_00000005,search,engagement,web,18,5,0.7517,16,24,at_risk,0
USR_00000006,content,promo,ios,10,4,0.8758,10,37,active,0
USR_00000007,home,promo,web,3,5,0.6021,12,32,active,1
USR_00000008,product,re-engagement,ios,18,3,0.4229,11,21,churn,1
USR_00000009,home,promo,android,15,0,0.4266,10,30,active,0
USR_00000010,home,transactional,android,11,0,0.194,11,41,new,1
USR_00000011,product,engagement,ios,8,3,0.6508,13,14,active,0
USR_00000012,content,promo,web,8,2,0.5851,14,40,active,0
USR_00000013,product,promo,ios,11,5,0.1549,11,27,churn,0
USR_00000014,content,promo,android,6,2,0.8857,11,8,active,0
USR_00000015,product,re-engagement,ios,6,6,0.3685,14,43,new,1
USR_00000016,content,promo,android,6,1,0.0497,13,30,active,0
USR_00000017,product,promo,ios,0,2,0.3279,15,17,active,0
USR_00000018,home,promo,ios,22,5,0.8699,13,9,new,0
USR_00000019,content,promo,ios,5,0,0.917,11,41,at_risk,1
USR_00000020,search,engagement,web,3,2,0.4904,12,37,new,1
USR_00000021,product,promo,ios,3,5,0.9563,11,2,at_risk,1
USR_00000022,search,transactional,ios,23,4,0.8752,8,28,at_risk,0
USR_00000023,home,transactional,ios,11,5,0.8252,10,5,new,0
USR_00000024,content,engagement,web,7,3,0.8597,12,13,at_risk,1
USR_00000025,content,promo,web,9,6,0.3819,13,25,at_risk,1
USR_00000026,product,engagement,android,2,6,0.7565,12,11,active,1
USR_00000027,search,engagement,ios,7,6,0.5773,13,23,active,1
USR_00000028,content,promo,android,5,0,0.7197,13,19,new,1
USR_00000029,product,engagement,web,19,4,0.1778,12,26,new,0
USR_00000030,search,engagement,ios,1,0,0.7314,11,36,at_risk,0
USR_00000031,search,promo,android,10,1,0.9576,5,6,new,1
USR_00000032,home,re-engagement,android,18,2,0.3027,14,35,new,0
USR_00000033,home,transactional,android,20,4,0.9862,13,10,active,0
USR_00000034,product,engagement,ios,12,3,0.3784,9,1,new,0
USR_00000035,content,re-engagement,android,5,6,0.1997,14,20,at_risk,0
USR_00000036,home,promo,android,8,2,0.1123,7,13,at_risk,1
USR_00000037,content,engagement,web,5,4,0.785,9,8,at_risk,0
USR_00000038,content,promo,ios,15,5,0.5548,9,19,new,1
USR_00000039,search,engagement,android,7,6,0.3071,9,39,active,0
USR_00000040,product,engagement,android,15,1,0.6085,6,26,at_risk,1
USR_00000041,home,promo,web,15,5,0.3321,12,32,active,0
USR_00000042,content,transactional,ios,22,0,0.4484,12,6,active,1
USR_00000043,product,promo,ios,8,3,0.8627,14,3,active,1
USR_00000044,search,promo,android,23,2,0.6682,14,15,active,1
USR_00000045,home,promo,android,9,6,0.7624,11,34,active,0
USR_00000046,content,promo,android,16,5,0.5835,9,39,active,0
USR_00000047,search,promo,ios,15,6,0.9914,14,4,new,0
USR_00000048,content,promo,android,19,5,0.2414,11,21,at_risk,0
USR_00000049,product,engagement,android,11,2,0.2623,11,17,active,1
USR_00000050,content,engagement,ios,19,5,0.0926,13,33,new,0
USR_00000051,content,engagement,web,8,0,0.554,13,9,at_risk,0
USR_00000052,home,promo,ios,11,3,0.6134,5,21,active,1
USR_00000053,search,engagement,ios,11,0,0.726,8,38,new,1
USR_00000054,search,transactional,ios,16,5,0.3354,18,20,churn,0
USR_00000055,search,promo,android,14,6,0.0123,10,35,at_risk,0
USR_00000056,home,promo,android,1,4,0.6322,14,27,active,0
USR_00000057,product,engagement,ios,19,5,0.9987,12,26,at_risk,1
USR_00000058,home,promo,android,18,1,0.2945,15,11,active,1
USR_00000059,product,transactional,ios,2,6,0.1839,14,44,active,0
USR_00000060,product,re-engagement,web,23,3,0.2818,10,11,new,1
USR_00000061,content,promo,web,15,4,0.4254,10,41,new,1
USR_00000062,product,promo,android,2,5,0.2509,11,44,active,1
USR_00000063,search,re-engagement,android,11,4,0.347,10,23,active,0
USR_00000064,content,transactional,android,20,2,0.6382,9,39,at_risk,1
USR_00000065,search,promo,android,6,4,0.345,13,32,active,1
USR_00000066,search,engagement,android,22,4,0.3961,13,33,active,1
USR_00000067,content,engagement,android,10,6,0.04,17,3,at_risk,1
